group,role,price_band,n_trades,n_prefixes,avg_price,win_rate,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,pass_gate,largest_prefix,largest_share,n_without,net_mean_pp_without,net_ci_low_pp_without,net_ci_high_pp_without,pass_loco,top3_prefixes,top3_share_of_abs_pnl,domain_top5
Weather,maker,"[0.95,1]",293060,36,0.9771437930798774,0.9854398416706477,-0.17039514092676386,0.02200180870892499,-0.21351868599625684,-0.12727159585727088,False,KXHIGHNY,0.21319183784890466,230582,-0.15231457789419078,-0.200578934389143,-0.10405022139923853,False,"['KXHIGHMIA', 'KXHIGHNY', 'KXHIGHPHIL']",0.7324906798747373,"[('KXHIGHNY', 0.2132), ('KXHIGHLAX', 0.1495), ('KXHIGHAUS', 0.1356), ('KXHIGHCHI', 0.131), ('KXHIGHMIA', 0.1285)]"
Weather,maker,"[0.60,0.80)",673684,32,0.6891837270886602,0.6974442023263132,-0.1739524762351642,0.05548218128931857,-0.2826975515622286,-0.06520740090809982,False,KXHIGHNY,0.20696053342516668,534258,0.4612397006689528,0.33992540984203706,0.5825539914958685,True,"['KXHIGHNY', 'KXHMONTH', 'KXHIGHCHI']",0.6192109905783161,"[('KXHIGHNY', 0.207), ('KXHIGHAUS', 0.1563), ('KXHIGHLAX', 0.1368), ('KXHIGHDEN', 0.1344), ('KXHIGHCHI', 0.1342)]"
Weather,maker,"[0,0.05)",318748,35,0.021998161557092652,0.02892253441590222,-0.3075627141189996,0.029592070127567597,-0.36556317156903206,-0.24956225666896711,False,KXHIGHNY,0.2187747060373712,249014,-0.17818275277695977,-0.24536396520092188,-0.11100154035299765,False,"['KXHIGHNY', 'KXTORNADO', 'KXHIGHMIA']",0.4424875009033116,"[('KXHIGHNY', 0.2188), ('KXHIGHAUS', 0.1497), ('KXHIGHCHI', 0.131), ('KXHIGHLAX', 0.1302), ('KXHIGHDEN', 0.1261)]"
Science/Tech,taker,"[0.95,1]",10497,61,0.9706316090311529,0.976755263408593,-0.38763456225587783,0.14639522986586423,-0.6745692127929717,-0.10069991171878395,False,KXLLM1,0.442412117747928,5853,-1.3102682385101623,-1.7513993520456466,-0.8691371249746782,False,"['KXSPACEXSTARSHIP', 'KXLLM1', 'KXAPPLEMENTION']",0.6681587293359977,"[('KXLLM1', 0.4424), ('KXSPACEXSTARSHIP', 0.1922), ('LLM1', 0.0508), ('KXAPPLEMENTION', 0.0457), ('KXTWITCHSUBSKAICENAT', 0.0285)]"
Entertainment,maker,"[0,0.05)",98583,392,0.022322002779383843,0.02835174421553412,-0.3970258563849738,0.05279276748273373,-0.5004996806511319,-0.29355203211881564,False,KXSPOTIFYD,0.19106742541817553,79747,-0.4258091213462537,-0.5409459962744078,-0.31067224641809965,False,"['KXKIMMELMENTION', 'KXSONGSONCHARTTSWIFT', 'KXRTALIENEARTH']",0.16350574299196396,"[('KXSPOTIFYD', 0.1911), ('KXAPPRANKFREE', 0.0706), ('KXSNFMENTION', 0.03), ('KXTNFMENTION', 0.0257), ('KXOSCARPIC', 0.0237)]"
World Events,taker,"[0.40,0.60)",35833,20,0.49486730109117144,0.5103117238299891,-0.45555772611842527,0.26674161277906555,-0.9783712871653937,0.06725583492854315,False,KXEPSTEIN,0.5332514721067173,16725,-4.004005979073277,-4.748442247889235,-3.259569710257318,False,"['KXEPSTEINBILL', 'KXEPSTEIN', 'KXOTEEPSTEIN']",0.5838757381078665,"[('KXEPSTEIN', 0.5333), ('KXOTEEPSTEIN', 0.1022), ('KXEPSTEINBILL', 0.0961), ('KXEPSTEINLIST', 0.0912), ('KXLAGODAYS', 0.0763)]"
Other,maker,"[0.05,0.20)",144646,1166,0.115384594112523,0.11933271573358406,-0.6051878378938952,0.08453137637854491,-0.7708693355958433,-0.4395063401919472,False,KXELONTWEETS,0.03762288621876858,139204,-0.6777535128300938,-0.8460562196620489,-0.5094508059981387,False,"['KXJREPODCAST', 'KXALBUMSALESSWIFT', 'KXMEDIARELEASEJIMMYKIMMEL']",0.1028691367926501,"[('KXELONTWEETS', 0.0376), ('KXWHVISIT', 0.0324), ('ADAMS', 0.0175), ('KXASIACUPCRICKET', 0.0141), ('KXFANATICSGAMESFIRSTPLACE', 0.0141)]"
Other,maker,"[0,0.05)",71247,1209,0.020508933709489495,0.024113295998428003,-0.6395637711061478,0.057772865071689314,-0.7527985866466589,-0.5263289555656367,False,KXFANATICSGAMESFIRSTPLACE,0.08914059539349026,64896,-0.5111409023668604,-0.6351355270890795,-0.3871462776446413,False,"['KXFL1MOV', 'KXDJTFRENCHREP', 'KXCANCONSEATS']",0.08349210760351919,"[('KXFANATICSGAMESFIRSTPLACE', 0.0891), ('KXELONTWEETS', 0.0251), ('KXWHVISIT', 0.018), ('KXCANCONSEATS', 0.0176), ('KXALBUMSALESSWIFT', 0.0152)]"
Science/Tech,maker,"[0.20,0.40)",27834,54,0.29029244808507554,0.29241215779262775,-0.7880290292448293,0.27375869861823865,-1.324596078536577,-0.25146197995308156,False,KXLLM1,0.27962204498095855,20051,4.478729240436856,3.8161683446867114,5.141290136187,True,"['KXCEOASTRONOMER', 'KXLLM1', 'KXSPACEXSTARSHIP']",0.6042559805015674,"[('KXLLM1', 0.2796), ('KXSPACEXSTARSHIP', 0.2086), ('KXAPPLEMENTION', 0.0676), ('KXCEOASTRONOMER', 0.0661), ('LLM1', 0.0606)]"
Science/Tech,maker,"[0.05,0.20)",20870,60,0.11260996645903208,0.11456636320076664,-0.8043603258265445,0.21752121187289053,-1.2307019010974098,-0.3780187505556791,False,KXLLM1,0.4456157163392429,11570,2.5517718236819418,1.9129157563071515,3.190627891056732,True,"['KXAPPLEMENTION', 'KXLLM1', 'KXCEOASTRONOMER']",0.45432314749927616,"[('KXLLM1', 0.4456), ('KXSPACEXSTARSHIP', 0.2253), ('KXAPPLEMENTION', 0.046), ('LLM1', 0.0312), ('KXSTREAMERHAIRCUT', 0.029)]"
