group_name,taker_n,taker_mean_px,taker_gross_pct,taker_net_pct,sd_excess,maker_n,maker_mean_px,maker_gross_pct,maker_net_pct,sd_excess_1,taker_ci_half,maker_ci_half
Unknown,61780235,0.48305814359567834,-1.2790832375434458,-2.9566133084261406,0.4124656749866304,61780235,0.5169062202498663,1.2826468529939583,0.8631063276199336,0.4124669535973273,0.01028535074145728,0.01028538262522429
Finance,82393,0.4728713604311031,-0.7661937300498806,-2.182709696212097,0.25084024240818853,82393,0.527128639568896,0.7661937300498922,0.41206473850933806,0.25084024240818853,0.1712805800565978,0.1712805800565978
Crypto,30729,0.47671613134173013,-3.3584236389078628,-5.058999642031959,0.419838646937741,30729,0.5232838686582699,3.3584236389078677,2.9332796381268436,0.4198386469377409,0.4694228991894648,0.4694228991894647
Other,544,0.5424264705882363,8.808823529411766,7.2959558823529616,0.4724346481834781,544,0.45757352941176477,-8.808823529411766,-9.187040441176467,0.472434648183478,3.9700718130525052,3.9700718130525052
Entertainment,23794,0.4877658233168016,0.5089518365974616,-1.072791460031932,0.37365660740619366,23794,0.5122341766831959,-0.5089518365974626,-0.9043876607548185,0.37365660740619344,0.47478283467922383,0.47478283467922355
Weather,15100,0.5715463576158958,-2.803642384105958,-4.428344370860944,0.422600328697081,15100,0.42845364238410444,2.8036423841059563,2.397466887417211,0.422600328697081,0.6740582495265025,0.6740582495265025
ScienceTech,10692,0.46961466517022055,-3.6767676767676796,-5.2489711934156436,0.33212595569324177,10692,0.5303853348297798,3.676767676767673,3.2837167976056896,0.3321259556932418,0.6295488188015886,0.6295488188015887
Politics,1616044,0.45083686459028466,-0.1542167168714955,-1.6607208714603332,0.32353230299764557,1616044,0.5491631354097152,0.1542167168714178,-0.22240932177579067,0.323532302997646,0.04988237580973554,0.049882375809735605
